episode_num,layer_num,quant_state,acc_state,reward,l1-bits,l2-bits,l3-bits,l4-bits,l5-bits,prob_2bits,prob_3bits,prob_4bits,prob_5bits,prob_8bits
19,2,0.6,0.0,0,3,3,2,8,8,0.1713937,0.17493664,0.23177487,0.23855649,0.18333824
19,3,0.525,0.0,0,3,3,2,5,8,0.17707185,0.16902967,0.21026607,0.24735741,0.19627504
19,4,0.4,0.49173333333333336,0.04352307900864364,3,3,2,5,3,0.1860268,0.15849495,0.20101202,0.25048938,0.20397693
20,0,0.925,0.0,0,5,8,8,8,8,0.19804154,0.16648595,0.18752198,0.25670522,0.19124533
20,1,0.85,0.0,0,5,5,8,8,8,0.19629052,0.16616204,0.18923153,0.25803342,0.19028251
20,2,0.775,0.0,0,5,5,5,8,8,0.16822897,0.17389947,0.23359947,0.23938937,0.18488273
20,3,0.7,0.0,0,5,5,5,5,8,0.17393982,0.16889007,0.21192566,0.25021285,0.1950316
20,4,0.55,0.8589333333333333,0.4339516969780677,5,5,5,5,2,0.18388964,0.15704936,0.2003803,0.2575186,0.20116211
21,0,0.925,0.0,0,5,8,8,8,8,0.1973068,0.16536717,0.18751644,0.25886673,0.19094284
21,1,0.85,0.0,0,5,5,8,8,8,0.19551414,0.16504169,0.18923974,0.2601906,0.19001378
21,2,0.725,0.0,0,5,5,3,8,8,0.1669804,0.17331257,0.2336158,0.24116732,0.18492395
21,3,0.65,0.0,0,5,5,3,5,8,0.17313197,0.16813365,0.21156743,0.25179768,0.19536924
21,4,0.65,0.8005333333333334,0.2980142396108469,5,5,3,5,8,0.18360679,0.15665095,0.20053194,0.25698236,0.20222796
22,0,0.85,0.0,0,2,8,8,8,8,0.1965012,0.16435122,0.18730271,0.26112634,0.19071853
22,1,0.7,0.0,0,2,2,8,8,8,0.19524428,0.16409469,0.19033274,0.261447,0.18888131
22,2,0.6,0.0,0,2,2,4,8,8,0.16804245,0.17367734,0.23229612,0.24295254,0.18303154
22,3,0.475,0.0,0,2,2,4,3,8,0.17421624,0.16696063,0.21091057,0.25189307,0.19601949
22,4,0.375,0.5093333333333334,0.05731346784581899,2,2,4,3,4,0.18449827,0.15644684,0.20187573,0.2535674,0.20361175
23,0,0.9,0.0,0,4,8,8,8,8,0.19534154,0.16354883,0.18707164,0.26333684,0.19070119
23,1,0.825,0.0,0,4,5,8,8,8,0.19364907,0.16317077,0.1891611,0.26459205,0.189427
23,2,0.7,0.0,0,4,5,3,8,8,0.1647689,0.17292514,0.23238173,0.24489512,0.18502906
23,3,0.625,0.0,0,4,5,3,5,8,0.17130664,0.16692206,0.21090117,0.25538063,0.19548953
23,4,0.625,0.7773333333333333,0.2843965514567522,4,5,3,5,8,0.18230572,0.15537277,0.2002355,0.25948924,0.20259681
24,0,1.0,0.0,0,8,8,8,8,8,0.1941795,0.16281755,0.18684821,0.26543087,0.19072391
