lambda_w,lambda_b,total_loss,acc_loss,loss_sin2_total,loss_bits_total,sin2_loss,sin2_loss_2,nbits,nbits_2
0.0,0.0,4.795078,4.795078,0.0,0.0,7.811439e-06,7.62952e-06,8.0,8.0
0.0,0.0,5.934117,5.934117,0.0,0.0,7.834144e-06,7.6254264e-06,8.0,8.0
0.0,0.0,6.026495,6.026495,0.0,0.0,7.827764e-06,7.630287e-06,8.0,8.0
0.0,0.0,5.624891,5.624891,0.0,0.0,7.77603e-06,7.630979e-06,8.0,8.0
0.0,0.0,4.2842183,4.2842183,0.0,0.0,7.668896e-06,7.634238e-06,8.0,8.0
0.0,0.0,4.770151,4.770151,0.0,0.0,7.70417e-06,7.629878e-06,8.0,8.0
0.0,0.0,4.583346,4.583346,0.0,0.0,7.733617e-06,7.630386e-06,8.0,8.0
0.0,0.0,4.6734023,4.6734023,0.0,0.0,7.68354e-06,7.63067e-06,8.0,8.0
0.0,0.0,5.581089,5.581089,0.0,0.0,7.67248e-06,7.6277397e-06,8.0,8.0
0.0,0.0,5.7542315,5.7542315,0.0,0.0,7.67395e-06,7.631724e-06,8.0,8.0
0.0,0.0,5.3922396,5.3922396,0.0,0.0,7.5986245e-06,7.632749e-06,8.0,8.0
0.0,0.0,5.826296,5.826296,0.0,0.0,7.701266e-06,7.6300785e-06,8.0,8.0
0.0,0.0,5.250486,5.250486,0.0,0.0,7.713008e-06,7.631648e-06,8.0,8.0
0.0,0.0,5.236408,5.236408,0.0,0.0,7.697894e-06,7.633054e-06,8.0,8.0
0.0,0.0,4.798237,4.798237,0.0,0.0,7.715306e-06,7.631063e-06,8.0,8.0
0.0,0.0,4.427379,4.427379,0.0,0.0,7.635504e-06,7.632398e-06,8.0,8.0
0.0,0.0,6.0780215,6.0780215,0.0,0.0,7.708637e-06,7.626742e-06,8.0,8.0
0.0,0.0,5.995776,5.995776,0.0,0.0,7.705508e-06,7.6229294e-06,8.0,8.0
0.0,0.0,4.550387,4.550387,0.0,0.0,7.673598e-06,7.6239767e-06,8.0,8.0
0.0,0.0,5.2633543,5.2633543,0.0,0.0,7.554266e-06,7.625184e-06,8.0,8.0
0.0,0.0,4.177467,4.177467,0.0,0.0,7.563759e-06,7.6233828e-06,8.0,8.0
0.0,0.0,3.73469,3.73469,0.0,0.0,7.6195315e-06,7.6258275e-06,8.0,8.0
0.0,0.0,4.555925,4.555925,0.0,0.0,7.677769e-06,7.625196e-06,8.0,8.0
0.0,0.0,5.328373,5.328373,0.0,0.0,7.787197e-06,7.628609e-06,8.0,8.0
0.0,0.0,4.7098923,4.7098923,0.0,0.0,7.6044767e-06,7.6277647e-06,8.0,8.0
0.0,0.0,4.391857,4.391857,0.0,0.0,7.730044e-06,7.62369e-06,8.0,8.0
0.0,0.0,5.993781,5.993781,0.0,0.0,7.6148203e-06,7.6202573e-06,8.0,8.0
0.0,0.0,6.158669,6.158669,0.0,0.0,7.6513725e-06,7.618591e-06,8.0,8.0
0.0,0.0,5.0151076,5.0151076,0.0,0.0,7.675057e-06,7.6250017e-06,8.0,8.0
0.0,0.0,5.289018,5.289018,0.0,0.0,7.791262e-06,7.623968e-06,8.0,8.0
0.0,0.0,4.2711587,4.2711587,0.0,0.0,7.676706e-06,7.6236e-06,8.0,8.0
0.0,0.0,5.403955,5.403955,0.0,0.0,7.639996e-06,7.6235747e-06,8.0,8.0
0.0,0.0,5.4121,5.4121,0.0,0.0,7.68954e-06,7.6246556e-06,8.0,8.0
0.0,0.0,5.5674458,5.5674458,0.0,0.0,7.5578546e-06,7.623161e-06,8.0,8.0
0.0,0.0,4.412415,4.412415,0.0,0.0,7.569374e-06,7.625744e-06,8.0,8.0
0.0,0.0,4.3684816,4.3684816,0.0,0.0,7.5709545e-06,7.6256088e-06,8.0,8.0
0.0,0.0,5.0400286,5.0400286,0.0,0.0,7.563327e-06,7.623698e-06,8.0,8.0
0.0,0.0,5.5738244,5.5738244,0.0,0.0,7.4937566e-06,7.623619e-06,8.0,8.0
