count,total,acc
5360,20000,93.88059701492537
5380,20000,93.86617100371747
5400,20000,93.88888888888889
5420,20000,93.87453874538745
5440,20000,93.84191176470588
5460,20000,93.80952380952381
5480,20000,93.81386861313868
5500,20000,93.81818181818181
5520,20000,93.82246376811594
5540,20000,93.82671480144404
5560,20000,93.81294964028777
5580,20000,93.83512544802868
5600,20000,93.82142857142857
5620,20000,93.84341637010677
5640,20000,93.84751773049645
5660,20000,93.79858657243817
5680,20000,93.82042253521126
5700,20000,93.80701754385964
5720,20000,93.82867132867133
5740,20000,93.7979094076655
5760,20000,93.80208333333333
5780,20000,93.80622837370242
5800,20000,93.77586206896552
5820,20000,93.76288659793815
5840,20000,93.75
5860,20000,93.77133105802048
5880,20000,93.75850340136054
5900,20000,93.7457627118644
5920,20000,93.76689189189189
5940,20000,93.72053872053873
5960,20000,93.70805369127517
5980,20000,93.64548494983278
6000,20000,93.6
6020,20000,93.58803986710963
6040,20000,93.59271523178808
6060,20000,93.61386138613861
6080,20000,93.61842105263158
6100,20000,93.62295081967213
6120,20000,93.62745098039215
6140,20000,93.61563517915309
6160,20000,93.58766233766234
6180,20000,93.59223300970874
6200,20000,93.58064516129032
6220,20000,93.58520900321544
6240,20000,93.58974358974359
6260,20000,93.59424920127796
6280,20000,93.61464968152866
6300,20000,93.61904761904762
6320,20000,93.62341772151899
6340,20000,93.62776025236593
6360,20000,93.61635220125787
6380,20000,93.62068965517241
6400,20000,93.625
6420,20000,93.61370716510903
6440,20000,93.58695652173913
6460,20000,93.59133126934985
6480,20000,93.56481481481481
6500,20000,93.56923076923077
6520,20000,93.58895705521472
6540,20000,93.56269113149847
6560,20000,93.58231707317073
6580,20000,93.57142857142857
6600,20000,93.53030303030303
6620,20000,93.53474320241692
6640,20000,93.55421686746988
6660,20000,93.54354354354355
6680,20000,93.562874251497
6700,20000,93.53731343283582
6720,20000,93.52678571428571
6740,20000,93.5459940652819
6760,20000,93.53550295857988
6780,20000,93.53982300884955
6800,20000,93.55882352941177
6820,20000,93.54838709677419
6840,20000,93.5672514619883
6860,20000,93.58600583090379
6880,20000,93.57558139534883
6900,20000,93.53623188405797
6920,20000,93.55491329479769
6940,20000,93.55907780979827
6960,20000,93.5632183908046
6980,20000,93.58166189111748
7000,20000,93.6
7020,20000,93.6039886039886
7040,20000,93.6221590909091
7060,20000,93.61189801699717
7080,20000,93.60169491525424
7100,20000,93.61971830985915
7120,20000,93.63764044943821
7140,20000,93.65546218487395
7160,20000,93.6731843575419
7180,20000,93.6908077994429
7200,20000,93.69444444444444
7220,20000,93.6842105263158
7240,20000,93.66022099447514
7260,20000,93.67768595041322
7280,20000,93.68131868131869
7300,20000,93.6986301369863
7320,20000,93.68852459016394
7340,20000,93.66485013623978
