l1,l2,l3,l4,l5,l6,l7,acc
5,5,8,8,4,3,5,9.560000000000002
5,3,4,5,4,6,5,10.38
6,6,3,3,3,3,5,10.260000000000002
4,4,5,3,3,6,4,10.099999999999998
8,8,4,3,5,8,5,9.540000000000004
8,6,4,6,6,6,3,9.719999999999995
3,6,8,3,5,3,5,10.419999999999996
6,6,4,5,8,8,8,74.58
6,6,3,8,6,5,8,31.34
6,5,4,5,6,4,8,51.459999999999994
6,6,6,8,3,8,8,10.040000000000004
6,6,5,5,3,5,4,10.18
3,5,4,4,8,8,3,9.940000000000005
3,4,8,5,6,6,6,56.24
8,3,3,4,5,5,6,9.899999999999999
4,5,4,4,3,4,5,9.999999999999998
4,4,6,4,4,4,5,9.599999999999998
6,6,4,8,8,3,5,10.119999999999996
5,5,3,4,5,3,3,10.499999999999998
3,5,6,4,8,3,5,9.840000000000003
6,6,4,8,4,6,3,9.760000000000002
6,8,4,5,4,5,5,47.08
3,3,8,3,6,3,8,9.340000000000003
8,6,5,3,5,4,8,10.099999999999998
4,4,3,6,5,8,6,14.400000000000002
4,5,6,6,4,3,4,9.919999999999995
3,3,6,6,3,3,8,10.060000000000002
5,4,8,8,6,3,3,10.660000000000004
5,6,4,4,5,5,3,9.999999999999998
4,6,3,8,8,4,3,10.18
6,6,3,5,3,4,6,10.519999999999996
3,3,4,3,5,6,5,10.119999999999996
8,6,6,8,5,6,3,9.999999999999998
8,5,5,3,8,4,8,10.099999999999998
5,3,5,6,4,6,5,9.119999999999994
4,4,8,5,4,3,5,10.060000000000002
3,5,6,8,6,6,3,9.999999999999998
4,6,8,8,4,3,3,9.58
8,4,5,8,8,8,6,82.98
8,8,6,6,6,8,6,90.82000000000001
3,4,3,4,3,4,4,9.299999999999997
5,3,3,6,6,5,6,9.499999999999996
5,5,3,8,5,5,3,10.499999999999998
6,8,5,6,3,8,3,9.860000000000003
3,4,5,6,3,5,3,9.899999999999999
8,5,6,5,6,6,3,9.760000000000002
5,6,8,6,4,8,5,67.16
4,8,5,6,3,3,8,10.099999999999998
8,3,4,3,6,4,6,9.740000000000004
4,4,5,5,5,5,8,68.16
4,5,6,4,5,5,6,61.620000000000005
